attributeName,code,definition
neigh_social_class_poor,FALSE,metadata_not_provided
neigh_social_class_rich,FALSE,metadata_not_provided
neigh_social_class_rich,TRUE,metadata_not_provided
neigh_social_class_upper_middle,FALSE,metadata_not_provided
neigh_social_class_upper_middle,TRUE,metadata_not_provided
neigh_social_class_working_lower,FALSE,metadata_not_provided
neigh_social_class_working_lower,TRUE,metadata_not_provided
neigh_buildings_residential,TRUE,metadata_not_provided
neigh_buildings_commercial,FALSE,metadata_not_provided
neigh_buildings_institutional,FALSE,metadata_not_provided
neigh_buildings_industrial,FALSE,metadata_not_provided
neigh_residence_apartments,FALSE,metadata_not_provided
neigh_residence_multi_family,FALSE,metadata_not_provided
neigh_residence_single_family,TRUE,metadata_not_provided
neigh_irrigation_drip_trickle,FALSE,metadata_not_provided
neigh_irrigation_drip_trickle,TRUE,metadata_not_provided
neigh_irrigation_flood_hand,FALSE,metadata_not_provided
neigh_irrigation_flood_hand,TRUE,metadata_not_provided
neigh_irrigation_overhead_spray,FALSE,metadata_not_provided
neigh_irrigation_overhead_spray,TRUE,metadata_not_provided
neigh_yard_upkeep_good,FALSE,metadata_not_provided
neigh_yard_upkeep_good,TRUE,metadata_not_provided
neigh_yard_upkeep_poor,FALSE,metadata_not_provided
neigh_yard_upkeep_poor,TRUE,metadata_not_provided
neigh_yard_upkeep_professionally_maintained,FALSE,metadata_not_provided
neigh_yard_upkeep_professionally_maintained,TRUE,metadata_not_provided
neigh_landscape_turf_present,FALSE,metadata_not_provided
neigh_landscape_turf_present,TRUE,metadata_not_provided
