taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Fraxinus,ITIS:32928,genus,ITIS:32928,accepted,2011-09-22,NA,NA,NA,NA,NA,NA,,,ash
Fraxinus velutina,ITIS:32936,species,ITIS:32936,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,velutina,,velvet ash
Brachychiton populneus,ITIS:1132786,species,ITIS:1132786,accepted,2020-08-28,Plantae,NA,Magnoliopsida,Malvales,Malvaceae,Brachychiton,populneus,,NA
Citrus,ITIS:28882,genus,ITIS:28882,accepted,2011-09-22,NA,NA,NA,NA,NA,NA,,,citrus
Parkinsonia aculeata,ITIS:26826,species,ITIS:26826,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Parkinsonia,aculeata,,Jerusalem thorn
Ulmus parvifolia,ITIS:19055,species,ITIS:19055,accepted,2012-08-29,Plantae,NA,Magnoliopsida,Rosales,Ulmaceae,Ulmus,parvifolia,,lacebark elm
Citrus x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus halepensis,ITIS:506601,species,ITIS:506601,accepted,2011-07-25,Plantae,NA,Pinopsida,Pinales,Pinaceae,Pinus,halepensis,,aleppo pine
Morus alba,ITIS:19066,species,ITIS:19066,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Rosales,Moraceae,Morus,alba,,white mulberry
Prosopis,ITIS:26878,genus,ITIS:26878,accepted,2011-06-29,NA,NA,NA,NA,NA,NA,,,mesquite
Schinus terebenthifolius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ebenopsis ebano,ITIS:565147,species,ITIS:565147,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Ebenopsis,ebano,,Texas ebony
Ficus,ITIS:19081,genus,ITIS:19081,accepted,2011-08-30,NA,NA,NA,NA,NA,NA,,,fig
Ficus,ITIS:73159,genus,ITIS:73159,accepted,2014-08-27,NA,NA,NA,NA,NA,NA,,,figsnails
Eucalyptus,ITIS:27187,genus,ITIS:27187,accepted,2011-10-27,NA,NA,NA,NA,NA,NA,,,gum
